 #         t_pb[s]        <L_e>[B/s]       <L_ae>[B/s]        <L_x>[B/s]        <E_e>[MeV]       <E_ae>[MeV]        <E_x>[MeV]    L_e(pole)[B/s]   L_ae(pole)[B/s]    L_x(pole)[B/s]    E_e(pole)[MeV]   E_ae(pole)[MeV]    E_x(pole)[MeV]     L_e(equ)[B/s]    L_ae(equ)[B/s]     L_x(equ)[B/s]     E_e(equ)[MeV]    E_ae(equ)[MeV]     E_x(equ)[MeV]
   1.209919993E-02   3.436264227E+00   4.453997345E-02   1.989861173E-01   1.333091677E+01   1.056651817E+01   1.698612967E+01   3.995749436E+00   4.705983565E-02   2.492969058E-01   1.317386885E+01   1.065334417E+01   1.693900136E+01   3.881400198E+00   4.085733205E-02   1.954180081E-01   1.327022114E+01   1.020767926E+01   1.695210929E+01
   1.249940041E-02   3.324431243E+00   4.651359149E-02   2.064178058E-01   1.324745482E+01   1.051458945E+01   1.689032937E+01   4.613675558E+00   5.523156505E-02   2.425307908E-01   1.300077869E+01   1.069050389E+01   1.746437430E+01   2.842610135E+00   4.279656759E-02   1.853818943E-01   1.386605050E+01   1.046432993E+01   1.702421593E+01
   1.289519947E-02   3.207937944E+00   4.834672548E-02   2.127597570E-01   1.319914585E+01   1.048444143E+01   1.683591548E+01   4.142600852E+00   5.857366717E-02   2.545698253E-01   1.288547226E+01   1.078989644E+01   1.735419611E+01   2.865342928E+00   4.638092017E-02   2.111951426E-01   1.370701482E+01   1.063286175E+01   1.734833902E+01
   1.329539996E-02   3.097589342E+00   5.082286784E-02   2.172557777E-01   1.313417140E+01   1.047809510E+01   1.670846237E+01   3.758768706E+00   6.592822013E-02   2.531274799E-01   1.285271612E+01   1.088553831E+01   1.750402548E+01   3.288477688E+00   4.640520506E-02   2.123257117E-01   1.352715440E+01   1.077700852E+01   1.715706768E+01
   1.369559951E-02   2.966545378E+00   5.319893079E-02   2.203095389E-01   1.298253880E+01   1.049515379E+01   1.656939302E+01   3.346294382E+00   6.937062905E-02   2.385847467E-01   1.236539173E+01   1.108168899E+01   1.660953911E+01   2.541013116E+00   4.849727511E-02   1.819375719E-01   1.328687201E+01   1.094128015E+01   1.787917377E+01
   1.409580000E-02   2.829745508E+00   5.614940897E-02   2.225935964E-01   1.282377724E+01   1.052213861E+01   1.639852598E+01   3.378447914E+00   6.420696762E-02   2.525988127E-01   1.255906126E+01   1.113545055E+01   1.655700810E+01   2.521810968E+00   4.721600338E-02   2.117900898E-01   1.332411646E+01   1.054920737E+01   1.747225806E+01
   1.449600048E-02   2.680987544E+00   5.999366994E-02   2.233622115E-01   1.263061382E+01   1.056877265E+01   1.619998696E+01   2.995367023E+00   7.609624300E-02   2.242877719E-01   1.247249981E+01   1.102688897E+01   1.780787989E+01   2.319782314E+00   5.378255760E-02   2.266391997E-01   1.294427617E+01   1.068864984E+01   1.691149051E+01
   1.489620004E-02   2.529260168E+00   6.452173388E-02   2.248501033E-01   1.239035938E+01   1.059382301E+01   1.604117507E+01   2.924274062E+00   8.742379422E-02   2.598536486E-01   1.232612180E+01   1.115818054E+01   1.632018144E+01   2.367572819E+00   6.815510870E-02   2.211646270E-01   1.269742030E+01   1.072356052E+01   1.651142933E+01
   1.529640052E-02   2.398089210E+00   6.927803395E-02   2.254615665E-01   1.213762646E+01   1.063105369E+01   1.589862114E+01   3.125873688E+00   9.518391672E-02   2.490016253E-01   1.207218714E+01   1.108037971E+01   1.629431447E+01   2.523296702E+00   6.608364958E-02   2.553094246E-01   1.225027665E+01   1.079064555E+01   1.745713552E+01
   1.569660008E-02   2.284735177E+00   7.360089988E-02   2.240340713E-01   1.192785767E+01   1.067054977E+01   1.575659744E+01   2.297223984E+00   9.229676210E-02   2.278581538E-01   1.229702388E+01   1.111510598E+01   1.662436097E+01   2.219581380E+00   6.463375531E-02   2.105555661E-01   1.189743019E+01   9.875494572E+00   1.471560705E+01
